Extracting baserom with 4 CPU cores.
extracting baserom/ovl_En_Gm (0x00D967A0, 0x00D974D0)
extracting baserom/ovl_En_Go (0x00D974D0, 0x00D9BB10)
extracting baserom/ovl_En_Go2 (0x00D9BB10, 0x00DA1B50)
extracting baserom/ovl_En_Goma (0x00DA1B50, 0x00DA4800)
extracting baserom/ovl_En_Goroiwa (0x00DA4800, 0x00DA6BC0)
extracting baserom/ovl_En_Gs (0x00DA6BC0, 0x00DA8A30)
extracting baserom/ovl_En_Guest (0x00DA8A30, 0x00DA93D0)
extracting baserom/ovl_En_Hata (0x00DA93D0, 0x00DA9960)
extracting baserom/ovl_En_Heishi1 (0x00DA9960, 0x00DAAE70)
extracting baserom/ovl_En_Heishi2 (0x00DAAE70, 0x00DAD070)
extracting baserom/ovl_En_Heishi3 (0x00DAD070, 0x00DADA40)
extracting baserom/ovl_En_Heishi4 (0x00DADA40, 0x00DAE940)
extracting baserom/ovl_En_Hintnuts (0x00DAE940, 0x00DB0370)
extracting baserom/ovl_En_Holl (0x00DB0370, 0x00DB1340)
extracting baserom/ovl_En_Honotrap (0x00DB1340, 0x00DB28A0)
extracting baserom/ovl_En_Horse (0x00DB28A0, 0x00DBEB00)
extracting baserom/ovl_En_Horse_Game_Check (0x00DBEB00, 0x00DBFBD0)
extracting baserom/ovl_En_Horse_Ganon (0x00DBFBD0, 0x00DC0950)
extracting baserom/ovl_En_Horse_Link_Child (0x00DC0950, 0x00DC2750)
extracting baserom/ovl_En_Horse_Normal (0x00DC2750, 0x00DC4D70)
extracting baserom/ovl_En_Horse_Zelda (0x00DC4D70, 0x00DC5860)
extracting baserom/ovl_En_Hs (0x00DC5860, 0x00DC6400)
extracting baserom/ovl_En_Hs2 (0x00DC6400, 0x00DC69E0)
extracting baserom/ovl_En_Hy (0x00DC69E0, 0x00DCA320)
extracting baserom/ovl_En_Ice_Hono (0x00DCA320, 0x00DCB510)
extracting baserom/ovl_En_Ik (0x00DCB510, 0x00DCFB60)
extracting baserom/ovl_En_In (0x00DCFB60, 0x00DD2900)
extracting baserom/ovl_En_Insect (0x00DD2900, 0x00DD4E20)
extracting baserom/ovl_En_Ishi (0x00DD4E20, 0x00DDDF70)
extracting baserom/ovl_En_It (0x00DDDF70, 0x00DDE100)
extracting baserom/ovl_En_Jj (0x00DDE100, 0x00DDF6D0)
extracting baserom/ovl_En_Js (0x00DDF6D0, 0x00DE00A0)
extracting baserom/ovl_En_Jsjutan (0x00DE00A0, 0x00DE4E70)
extracting baserom/ovl_En_Kakasi (0x00DE4E70, 0x00DE5BB0)
extracting baserom/ovl_En_Kakasi2 (0x00DE5BB0, 0x00DE62D0)
extracting baserom/ovl_En_Kakasi3 (0x00DE62D0, 0x00DE73B0)
